[2025-04-22 22:18:43] This is codeql database index-files --include-extension=.properties --size-limit=5m --language properties -- F:\Main-Sec\codeAudit\codeql\databases\WebGoat
[2025-04-22 22:18:43] Log file was started late.
[2025-04-22 22:18:44] Using index-files script F:\Main-Sec\codeAudit\codeql\codeql-win64\properties\tools\index-files.cmd.
[2025-04-22 22:18:44] [PROGRESS] database index-files> Scanning for files in F:\Main-Sec\codeAudit\codeql\source\WebGoat...
[2025-04-22 22:18:44] Calling plumbing command: codeql resolve files --include-extension=.properties --size-limit=5m F:\Main-Sec\codeAudit\codeql\source\WebGoat --format=json
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\hooks...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\info...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\logs...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\logs\refs...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\logs\refs\remotes...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\logs\refs\remotes\origin...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\objects...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\objects\info...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\objects\pack...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\refs...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\refs\heads...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\refs\remotes...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\refs\remotes\origin...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\.git\refs\tags...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\platformQuickStarts...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\platformQuickStarts\AWS...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\platformQuickStarts\AWS\codepipelinebuild...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\platformQuickStarts\GCP...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\platformQuickStarts\GCP\GKE-Docker...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\scripts...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\documentation...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java\org...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java\org\owasp...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java\org\owasp\webgoat...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java\org\owasp\webgoat\assignments...
[2025-04-22 22:18:44] [PROGRESS] resolve files> Scanning F:\Main-Sec\codeAudit\codeql\source\WebGoat\webgoat-container\src\main\java\org\owasp\webgoat\controller...
